tenure,monthly_charges,total_charges,senior_citizen,dependents,tech_support,online_security,num_services,contract,internet_service,payment_method,churn
60,68.38,4209.03,0,0,0,1,8,Month-to-month,Fiber optic,Electronic check,0
41,61.84,2396.75,1,1,0,1,7,Two year,DSL,Mailed check,0
29,55.78,1608.64,0,0,1,1,4,One year,Fiber optic,Electronic check,1
15,79.38,1276.98,0,1,0,0,5,Two year,DSL,Bank transfer,0
45,77.56,3496.29,1,0,0,1,5,Month-to-month,Fiber optic,Mailed check,0
65,36.15,2387.42,0,1,1,1,8,Two year,Fiber optic,Bank transfer,0
71,67.17,4774.06,0,0,1,1,6,Two year,Fiber optic,Electronic check,0
9,75.35,644.78,0,0,1,0,6,One year,DSL,Credit card,0
1,77.03,0.0,0,0,0,1,8,Two year,No,Mailed check,0
8,41.01,338.35,0,0,1,1,6,Month-to-month,DSL,Credit card,1
63,94.23,5897.71,0,0,0,0,5,Month-to-month,No,Electronic check,0
11,22.52,207.7,1,0,0,0,8,Month-to-month,No,Mailed check,1
8,55.48,418.89,0,0,0,0,4,One year,No,Bank transfer,0
35,98.02,3517.94,0,1,1,0,4,One year,No,Bank transfer,0
35,76.39,2793.89,0,1,1,1,4,One year,DSL,Electronic check,0
33,46.12,1532.82,0,0,1,1,2,Month-to-month,Fiber optic,Credit card,1
5,89.5,424.26,0,0,1,1,2,Month-to-month,DSL,Electronic check,0
41,76.74,3087.48,0,0,0,1,7,Month-to-month,DSL,Electronic check,0
28,99.62,2812.79,0,1,0,1,3,One year,Fiber optic,Mailed check,1
7,93.5,743.65,1,1,1,0,7,Month-to-month,DSL,Mailed check,0
72,81.01,5820.35,0,1,0,1,5,Two year,No,Bank transfer,0
12,68.82,706.89,0,1,0,1,7,Month-to-month,No,Mailed check,0
34,33.32,1166.38,0,1,1,1,4,Month-to-month,Fiber optic,Mailed check,1
33,46.13,1571.56,0,1,1,0,5,Two year,Fiber optic,Mailed check,0
48,61.91,2892.39,0,0,0,0,6,Month-to-month,Fiber optic,Mailed check,0
23,79.93,1847.21,0,1,1,0,1,Month-to-month,No,Credit card,1
62,71.37,4447.5,0,1,1,1,1,Month-to-month,Fiber optic,Credit card,1
37,48.82,1802.68,0,0,0,1,4,Month-to-month,DSL,Mailed check,0
44,20.65,869.06,0,0,0,0,2,Two year,Fiber optic,Electronic check,0
35,69.62,2487.5,0,0,0,1,7,One year,Fiber optic,Credit card,0
65,48.56,3136.23,0,1,0,0,3,Month-to-month,No,Electronic check,0
47,93.46,4318.36,0,0,0,0,7,One year,DSL,Electronic check,0
3,22.39,0.0,0,0,1,1,2,Month-to-month,DSL,Electronic check,1
1,78.48,141.52,0,1,0,0,5,One year,No,Electronic check,0
5,114.15,601.58,0,0,1,0,8,Two year,No,Credit card,0
14,37.44,528.56,0,1,0,0,2,Two year,No,Bank transfer,0
27,67.16,1791.31,0,1,0,0,4,Month-to-month,Fiber optic,Credit card,0
9,29.14,235.81,0,1,1,1,6,Month-to-month,Fiber optic,Electronic check,0
15,82.57,1184.76,0,0,0,1,6,Month-to-month,Fiber optic,Mailed check,0
42,75.05,3130.53,0,1,1,0,2,One year,DSL,Credit card,0
51,60.74,2991.74,0,0,0,0,1,Month-to-month,Fiber optic,Credit card,0
63,72.14,4508.02,0,0,1,0,4,Month-to-month,DSL,Bank transfer,1
52,109.66,5686.77,0,0,0,0,7,Two year,DSL,Electronic check,1
4,39.63,189.01,0,0,0,1,4,Month-to-month,No,Bank transfer,0
23,22.26,509.98,0,1,1,0,7,Month-to-month,DSL,Mailed check,0
15,106.17,1632.3,1,0,1,0,4,Month-to-month,No,Mailed check,1
43,77.71,3408.99,0,1,0,0,2,Month-to-month,DSL,Bank transfer,0
29,109.07,3215.94,0,0,1,0,1,Month-to-month,DSL,Bank transfer,1
36,79.69,2892.37,1,0,1,0,2,Month-to-month,Fiber optic,Bank transfer,0
13,101.02,1313.85,0,0,0,1,5,Month-to-month,Fiber optic,Bank transfer,0
32,62.97,1966.0,0,0,0,0,6,Month-to-month,Fiber optic,Electronic check,0
71,94.99,6781.29,0,1,0,0,3,One year,No,Mailed check,0
59,111.3,6650.69,0,1,0,1,3,Month-to-month,DSL,Bank transfer,1
28,77.21,2178.99,1,0,0,1,6,One year,No,Electronic check,0
66,38.08,2609.14,1,1,1,0,8,Month-to-month,DSL,Electronic check,1
42,46.88,1892.68,0,0,1,0,3,Month-to-month,No,Electronic check,1
45,39.86,1735.99,0,0,0,1,6,Two year,Fiber optic,Mailed check,0
62,44.69,2813.54,0,0,0,1,5,Month-to-month,No,Credit card,0
57,50.64,2899.69,0,0,1,0,5,Month-to-month,Fiber optic,Electronic check,0
6,75.51,518.75,0,1,0,0,5,Two year,DSL,Mailed check,0
28,78.8,2205.63,0,0,0,0,1,One year,No,Bank transfer,0
28,62.65,1710.8,0,0,1,1,8,Month-to-month,DSL,Electronic check,1
44,81.54,3577.08,1,0,1,1,8,Month-to-month,DSL,Credit card,0
30,28.16,768.17,0,0,1,0,4,One year,No,Mailed check,0
62,28.78,1727.93,0,0,1,0,6,Two year,DSL,Credit card,0
62,37.18,2353.78,0,0,1,1,7,Month-to-month,DSL,Electronic check,0
1,71.81,115.45,1,1,0,0,5,Month-to-month,Fiber optic,Electronic check,0
27,41.4,1135.95,0,0,0,0,3,Month-to-month,No,Electronic check,0
62,48.33,2910.41,0,0,1,1,6,Month-to-month,DSL,Mailed check,0
3,60.03,162.17,0,0,0,0,7,Month-to-month,Fiber optic,Credit card,1
70,101.19,7022.05,1,0,0,1,7,Month-to-month,Fiber optic,Electronic check,0
72,21.39,1598.91,1,1,0,1,3,Month-to-month,No,Bank transfer,1
27,84.94,2264.19,0,0,0,1,8,Month-to-month,No,Electronic check,0
9,86.89,727.72,0,0,0,1,6,Two year,No,Credit card,0
62,99.87,6193.43,0,0,0,0,6,Month-to-month,Fiber optic,Bank transfer,0
37,113.28,4159.35,0,1,0,1,2,Month-to-month,Fiber optic,Mailed check,0
51,22.01,1196.7,1,1,1,1,7,Month-to-month,DSL,Electronic check,0
44,35.38,1519.98,0,0,1,0,4,Two year,Fiber optic,Bank transfer,0
24,108.62,2536.92,0,0,1,0,5,One year,No,Electronic check,1
59,65.85,3777.5,0,0,0,1,4,One year,Fiber optic,Electronic check,0
32,76.46,2445.18,0,1,0,0,5,Month-to-month,DSL,Bank transfer,0
52,86.3,4459.5,0,0,0,0,3,Two year,Fiber optic,Credit card,0
62,87.91,5378.97,0,0,1,0,4,Month-to-month,Fiber optic,Credit card,0
58,113.17,6623.32,0,0,1,0,4,Month-to-month,Fiber optic,Bank transfer,0
52,119.69,6257.24,0,0,0,1,5,One year,Fiber optic,Mailed check,0
12,92.02,1102.83,0,0,1,0,5,Two year,Fiber optic,Credit card,1
39,48.72,1968.3,1,0,1,0,7,One year,DSL,Mailed check,0
2,107.98,249.09,0,0,0,1,8,Two year,No,Mailed check,0
3,24.92,33.62,0,0,1,1,8,Two year,Fiber optic,Credit card,0
56,43.11,2362.2,0,0,1,1,4,Month-to-month,DSL,Electronic check,0
59,109.74,6515.56,0,0,0,0,6,Month-to-month,DSL,Electronic check,0
2,45.62,111.06,0,0,0,0,5,Month-to-month,No,Bank transfer,0
2,42.07,92.63,0,1,1,1,4,Two year,No,Electronic check,0
54,33.81,1783.42,1,0,1,0,2,Month-to-month,Fiber optic,Mailed check,0
1,105.91,136.31,0,0,0,0,4,Two year,DSL,Mailed check,0
19,70.01,1292.42,0,1,1,1,1,Month-to-month,DSL,Mailed check,0
2,87.49,169.88,0,0,0,0,4,Month-to-month,DSL,Credit card,1
53,43.91,2399.58,0,0,0,1,8,Month-to-month,Fiber optic,Electronic check,1
44,95.8,4182.16,0,0,0,1,7,Month-to-month,Fiber optic,Mailed check,1
32,96.0,2993.35,1,0,1,0,7,Two year,Fiber optic,Electronic check,0
70,51.26,3535.57,0,0,1,0,8,Month-to-month,Fiber optic,Bank transfer,0
32,61.07,2003.95,0,0,1,0,6,Month-to-month,DSL,Bank transfer,0
68,40.97,2798.7,0,1,1,0,2,Month-to-month,DSL,Mailed check,0
55,117.66,6464.86,0,1,1,1,2,Month-to-month,Fiber optic,Electronic check,0
56,84.56,4709.91,1,0,0,1,8,Month-to-month,DSL,Bank transfer,0
17,113.45,1952.92,0,1,1,0,6,Month-to-month,DSL,Mailed check,0
38,50.34,1870.46,0,0,1,0,7,Two year,Fiber optic,Electronic check,0
24,98.19,2371.84,0,0,0,0,8,Month-to-month,No,Mailed check,0
69,96.59,6628.15,0,0,0,1,7,Month-to-month,Fiber optic,Mailed check,0
70,89.17,6197.02,0,0,1,1,3,One year,No,Credit card,0
11,116.56,1250.29,0,0,0,0,6,Month-to-month,Fiber optic,Credit card,1
16,59.36,930.99,0,0,0,1,3,Month-to-month,Fiber optic,Bank transfer,1
59,33.07,1948.69,0,0,1,0,7,Month-to-month,DSL,Credit card,0
70,87.17,6113.67,0,1,1,0,1,Month-to-month,No,Bank transfer,0
3,92.93,94.37,0,0,0,0,5,One year,DSL,Credit card,0
20,77.51,1509.82,0,0,0,1,5,Month-to-month,DSL,Electronic check,0
59,40.68,2380.54,0,0,1,0,2,One year,DSL,Mailed check,1
36,70.45,2611.45,0,0,1,1,2,Two year,No,Bank transfer,0
19,51.22,919.18,0,1,1,0,3,Month-to-month,No,Bank transfer,0
67,62.75,4212.39,0,1,1,1,7,Month-to-month,No,Electronic check,0
19,84.52,1680.63,0,1,1,0,2,Month-to-month,Fiber optic,Mailed check,0
20,94.52,1824.75,0,1,1,0,8,Month-to-month,Fiber optic,Electronic check,1
71,43.22,3088.32,0,0,0,0,4,Two year,No,Electronic check,0
52,60.53,3107.45,0,0,0,1,4,One year,Fiber optic,Mailed check,0
33,46.92,1523.13,0,0,1,1,1,Month-to-month,No,Mailed check,1
40,39.86,1554.24,0,1,0,0,7,Month-to-month,DSL,Credit card,0
39,98.34,3798.67,0,0,0,0,4,Month-to-month,DSL,Bank transfer,0
1,110.93,247.03,1,0,0,1,1,One year,No,Credit card,0
11,57.02,669.44,0,0,1,0,3,One year,DSL,Credit card,0
57,95.13,5477.5,0,0,1,1,8,One year,No,Mailed check,0
50,109.7,5509.6,0,0,0,1,4,Month-to-month,Fiber optic,Mailed check,0
23,104.61,2325.72,0,1,1,1,1,One year,No,Electronic check,0
31,38.28,1206.43,0,0,0,1,8,Month-to-month,DSL,Credit card,0
42,115.63,4910.11,0,1,1,1,7,Month-to-month,Fiber optic,Electronic check,0
7,57.67,361.02,0,1,1,0,8,Month-to-month,Fiber optic,Bank transfer,0
16,53.92,910.99,0,1,1,0,5,Month-to-month,Fiber optic,Mailed check,0
60,26.24,1609.62,0,1,0,0,8,One year,Fiber optic,Credit card,0
2,68.62,229.84,0,0,0,1,1,Two year,No,Mailed check,0
1,30.9,10.01,0,1,0,1,6,Month-to-month,Fiber optic,Credit card,0
48,44.85,2097.92,0,0,1,0,8,Two year,DSL,Electronic check,0
12,51.69,602.2,0,1,1,1,7,Month-to-month,No,Electronic check,0
69,100.88,7032.5,0,0,1,0,4,One year,DSL,Bank transfer,0
37,107.55,3887.93,0,0,0,1,1,Two year,Fiber optic,Credit card,0
32,50.25,1504.58,0,0,1,0,6,Month-to-month,DSL,Mailed check,0
9,105.87,957.3,0,0,0,1,3,Two year,No,Credit card,0
19,105.72,1986.55,0,1,0,0,8,Month-to-month,DSL,Bank transfer,0
48,96.47,4630.95,0,1,1,1,2,Month-to-month,DSL,Credit card,0
3,34.67,151.28,0,0,0,0,5,One year,No,Mailed check,0
20,89.03,1752.97,1,0,0,0,3,Two year,No,Mailed check,0
24,114.5,2654.35,0,1,0,1,5,Two year,DSL,Electronic check,1
54,88.25,4867.72,0,0,0,1,8,One year,Fiber optic,Credit card,0
33,53.16,1704.42,0,1,0,1,5,Month-to-month,No,Credit card,1
24,70.06,1628.49,0,0,1,1,6,Month-to-month,DSL,Bank transfer,0
72,84.57,6144.23,0,0,0,1,1,Two year,No,Electronic check,0
36,71.06,2538.94,0,1,0,1,7,Month-to-month,Fiber optic,Electronic check,0
38,32.0,1212.83,0,0,0,1,2,One year,Fiber optic,Credit card,0
25,51.21,1304.39,1,0,1,1,8,Month-to-month,Fiber optic,Electronic check,0
18,100.24,1858.5,0,1,1,1,1,One year,Fiber optic,Credit card,0
66,106.14,6988.57,1,1,1,1,1,Month-to-month,DSL,Mailed check,0
54,33.73,1897.42,0,1,1,1,4,Two year,Fiber optic,Mailed check,0
35,115.24,3926.61,1,0,0,1,8,One year,DSL,Credit card,0
61,52.88,3263.67,1,0,1,0,1,Two year,Fiber optic,Electronic check,0
41,86.23,3493.45,0,0,0,1,8,Month-to-month,DSL,Mailed check,0
33,95.18,3209.55,0,0,0,0,2,One year,No,Credit card,0
68,101.19,6888.02,0,1,1,0,3,One year,DSL,Bank transfer,0
33,114.57,3747.16,0,0,0,1,6,One year,Fiber optic,Bank transfer,1
14,51.29,751.2,1,0,0,1,1,Two year,Fiber optic,Bank transfer,0
21,105.85,2267.51,0,1,1,0,2,Month-to-month,Fiber optic,Electronic check,1
48,33.17,1624.25,0,1,1,0,1,Month-to-month,Fiber optic,Electronic check,0
20,90.5,1758.52,0,0,0,0,6,Month-to-month,No,Mailed check,0
8,94.2,729.4,0,0,1,0,5,Month-to-month,DSL,Mailed check,0
7,87.77,614.19,0,1,1,0,8,Two year,DSL,Mailed check,0
67,45.23,3028.35,0,0,1,0,6,Month-to-month,Fiber optic,Bank transfer,0
17,107.3,1861.59,0,1,1,0,1,Month-to-month,No,Electronic check,1
33,36.89,1116.62,0,1,1,1,4,Month-to-month,DSL,Bank transfer,0
48,25.36,1234.0,1,0,1,0,5,Month-to-month,DSL,Electronic check,0
59,91.75,5398.75,0,0,1,0,2,Month-to-month,DSL,Electronic check,0
22,67.55,1444.17,1,0,1,1,6,Month-to-month,Fiber optic,Mailed check,1
30,104.91,3110.18,0,0,1,1,1,Month-to-month,Fiber optic,Credit card,1
38,58.34,2206.19,0,0,0,0,8,Month-to-month,No,Electronic check,0
51,36.83,1698.28,0,1,1,0,7,Two year,DSL,Mailed check,0
54,103.64,5561.5,0,1,0,1,5,Month-to-month,DSL,Bank transfer,0
8,74.89,555.33,0,0,0,0,5,Month-to-month,DSL,Electronic check,0
27,38.92,1077.48,0,1,1,1,3,Two year,Fiber optic,Mailed check,1
27,92.04,2444.8,0,0,0,0,5,One year,Fiber optic,Credit card,1
21,71.11,1482.55,0,1,1,1,6,Two year,DSL,Mailed check,0
30,80.43,2490.01,1,0,0,1,2,Two year,No,Electronic check,1
28,66.09,1900.24,0,0,1,0,8,Month-to-month,Fiber optic,Bank transfer,1
64,102.87,6628.79,0,0,1,0,7,One year,Fiber optic,Bank transfer,0
69,102.96,7079.25,0,0,1,1,1,Month-to-month,Fiber optic,Electronic check,0
61,90.94,5574.49,1,0,0,0,6,Month-to-month,DSL,Electronic check,0
48,30.54,1454.23,1,1,1,0,5,Two year,No,Electronic check,0
19,103.89,1964.11,1,0,0,0,7,Month-to-month,No,Electronic check,1
4,87.1,368.88,0,1,0,1,2,One year,Fiber optic,Electronic check,0
35,89.7,3109.65,1,0,0,1,3,One year,Fiber optic,Mailed check,0
64,56.3,3677.85,0,0,1,0,1,Month-to-month,DSL,Mailed check,0
49,107.93,5280.56,1,0,0,1,4,Two year,Fiber optic,Credit card,0
17,92.54,1604.1,0,1,1,1,5,Month-to-month,DSL,Bank transfer,0
44,31.26,1448.22,1,0,0,1,5,Month-to-month,No,Credit card,1
30,60.78,1874.98,0,0,0,1,3,Two year,DSL,Mailed check,0
46,108.64,4926.99,0,1,1,1,2,Month-to-month,DSL,Electronic check,0
6,24.72,170.56,0,0,1,1,3,One year,DSL,Mailed check,0
37,116.14,4339.72,0,0,1,0,2,Month-to-month,DSL,Credit card,0
24,87.92,2154.67,0,0,0,0,1,Month-to-month,Fiber optic,Electronic check,1
46,83.14,3768.78,0,0,1,0,5,Two year,DSL,Electronic check,0
53,47.06,2461.33,0,0,1,1,4,One year,Fiber optic,Electronic check,0
60,44.88,2742.53,0,1,0,0,8,Month-to-month,DSL,Mailed check,0
63,114.21,7157.14,0,1,1,1,3,Month-to-month,Fiber optic,Electronic check,1
32,49.83,1579.58,0,0,1,0,6,Two year,Fiber optic,Electronic check,0
33,97.55,3297.94,1,0,1,0,4,Month-to-month,No,Electronic check,0
67,59.31,3971.38,0,0,0,0,4,Two year,No,Bank transfer,0
18,33.93,574.4,0,0,1,1,5,Month-to-month,No,Mailed check,0
25,21.07,482.87,0,0,1,0,5,One year,Fiber optic,Bank transfer,0
54,74.43,4035.86,0,0,0,1,7,Two year,Fiber optic,Mailed check,0
58,117.58,6752.98,0,0,1,0,7,Month-to-month,Fiber optic,Mailed check,0
67,56.91,3800.6,0,0,1,1,6,One year,No,Electronic check,0
46,55.72,2579.78,0,1,1,0,4,One year,DSL,Mailed check,0
24,54.41,1370.8,0,1,1,0,1,One year,Fiber optic,Electronic check,1
32,72.05,2338.98,0,0,0,1,6,Month-to-month,DSL,Mailed check,1
47,64.07,2975.59,1,1,1,0,4,One year,Fiber optic,Bank transfer,1
23,107.99,2542.69,0,0,1,0,2,One year,Fiber optic,Electronic check,0
66,70.55,4641.32,0,0,0,1,6,Two year,Fiber optic,Electronic check,0
27,70.78,1849.27,1,1,1,1,7,One year,Fiber optic,Electronic check,0
2,33.84,59.08,0,1,1,1,8,Month-to-month,No,Electronic check,1
17,118.27,2082.5,0,0,0,1,2,Two year,Fiber optic,Mailed check,1
33,45.0,1493.26,0,0,1,1,2,Month-to-month,No,Credit card,0
9,27.34,246.69,0,1,1,0,2,Month-to-month,DSL,Mailed check,0
43,86.31,3793.19,0,0,0,1,3,Month-to-month,Fiber optic,Mailed check,0
48,79.54,3746.35,1,0,1,1,7,Month-to-month,Fiber optic,Bank transfer,1
39,61.51,2334.61,0,1,1,0,1,Month-to-month,DSL,Bank transfer,0
42,62.22,2532.45,0,0,0,1,3,Month-to-month,Fiber optic,Credit card,0
26,98.51,2579.89,1,0,0,0,3,Month-to-month,Fiber optic,Credit card,1
50,39.57,1986.82,1,1,0,0,8,One year,Fiber optic,Credit card,0
25,102.03,2627.89,0,0,0,0,8,Month-to-month,Fiber optic,Credit card,1
24,84.87,2049.05,0,0,1,0,2,Month-to-month,Fiber optic,Electronic check,1
13,61.9,784.49,0,0,0,1,1,Month-to-month,DSL,Bank transfer,0
60,65.8,3948.09,0,0,1,0,7,Month-to-month,Fiber optic,Credit card,0
7,45.66,325.51,0,0,1,0,8,Month-to-month,DSL,Bank transfer,0
57,95.21,5343.38,0,0,0,0,1,One year,DSL,Credit card,0
36,71.29,2701.96,0,0,1,0,4,Two year,DSL,Electronic check,0
45,52.09,2370.04,0,0,1,0,6,Two year,DSL,Mailed check,0
20,79.61,1602.7,0,0,1,1,3,Two year,DSL,Credit card,0
65,119.57,7802.81,0,0,0,0,6,Month-to-month,DSL,Mailed check,0
8,63.53,543.71,0,0,0,0,6,Month-to-month,DSL,Bank transfer,0
16,112.07,1786.09,1,0,0,1,8,Month-to-month,Fiber optic,Electronic check,0
14,54.5,731.44,0,0,0,1,1,One year,DSL,Bank transfer,0
15,25.47,412.02,0,0,1,0,7,Month-to-month,Fiber optic,Credit card,1
66,40.42,2687.01,1,1,0,1,5,One year,No,Mailed check,0
32,61.87,1939.35,0,1,0,1,6,Month-to-month,No,Electronic check,0
63,41.96,2714.43,0,0,1,0,3,Month-to-month,DSL,Electronic check,1
51,20.02,1035.69,0,0,0,1,6,Two year,No,Credit card,0
25,111.5,2823.99,0,0,0,0,8,One year,DSL,Bank transfer,1
58,104.39,6124.22,0,0,1,0,1,Two year,DSL,Electronic check,0
63,94.23,5937.58,1,0,1,0,5,One year,No,Electronic check,0
62,36.78,2296.21,0,0,0,1,6,Two year,No,Credit card,0
22,32.04,745.38,0,0,0,1,5,One year,Fiber optic,Credit card,1
58,26.76,1515.84,0,1,0,0,5,Two year,Fiber optic,Electronic check,0
58,92.4,5361.9,0,0,1,0,2,Month-to-month,Fiber optic,Electronic check,1
49,112.88,5537.4,0,1,1,0,7,One year,DSL,Bank transfer,0
52,63.05,3230.8,0,0,0,0,8,One year,DSL,Mailed check,0
42,31.91,1456.1,0,0,0,1,7,Month-to-month,Fiber optic,Credit card,0
70,71.24,4916.44,0,0,1,1,7,Two year,No,Mailed check,0
15,54.88,758.29,0,1,1,0,4,Two year,DSL,Bank transfer,0
54,57.48,3169.63,1,0,1,0,6,Month-to-month,No,Mailed check,0
60,82.13,4963.46,0,0,0,1,6,Month-to-month,DSL,Credit card,1
8,91.87,683.66,0,0,1,1,4,Month-to-month,Fiber optic,Mailed check,0
53,31.06,1676.54,0,1,1,0,1,Two year,Fiber optic,Electronic check,0
60,23.56,1486.99,0,0,1,0,7,One year,Fiber optic,Electronic check,0
5,119.43,595.64,0,0,1,0,1,Month-to-month,DSL,Credit card,0
68,43.27,3072.3,0,1,0,1,6,Month-to-month,Fiber optic,Mailed check,0
6,25.38,66.08,1,0,0,0,7,Month-to-month,Fiber optic,Mailed check,0
47,38.99,1867.22,0,0,0,0,6,One year,DSL,Mailed check,0
55,23.9,1372.83,1,0,0,0,4,Month-to-month,DSL,Electronic check,1
40,59.18,2411.77,1,1,1,0,8,Month-to-month,Fiber optic,Electronic check,0
52,100.24,5202.26,0,0,0,1,5,One year,Fiber optic,Electronic check,0
16,54.12,851.4,0,0,0,0,1,Month-to-month,DSL,Bank transfer,0
13,64.42,859.67,0,1,1,0,6,Month-to-month,Fiber optic,Bank transfer,1
30,87.56,2667.59,0,0,0,0,2,Month-to-month,No,Credit card,1
19,70.89,1377.03,1,1,0,0,8,Month-to-month,DSL,Credit card,1
17,106.14,1856.38,0,0,0,0,7,Month-to-month,Fiber optic,Mailed check,1
63,106.6,6664.86,0,0,1,1,8,Two year,DSL,Bank transfer,0
19,20.99,387.42,0,0,0,0,2,Two year,DSL,Electronic check,0
58,97.8,5625.4,0,1,0,0,4,Two year,DSL,Electronic check,0
55,66.07,3614.54,0,0,0,1,1,Two year,Fiber optic,Electronic check,0
62,118.88,7421.32,0,0,1,1,1,Month-to-month,No,Mailed check,0
